source,target_slug,split_family,mean_r2,delta_r2_vs_random
mean_r2,co2_0015bar,random,0.5569597249226292,
mean_r2,co2_015bar,random,0.7581004275473089,
mean_r2,ch4_58bar,random,0.7631126605277337,
mean_r2,ch4_65bar,random,0.9816391630335788,
mean_r2,co2_0015bar,geo_grouped,0.5267995981200145,
mean_r2,co2_015bar,geo_grouped,0.7393332888585045,
mean_r2,ch4_58bar,geo_grouped,0.7463732308152822,
mean_r2,ch4_65bar,geo_grouped,0.981096916437388,
mean_r2,co2_0015bar,metal_grouped,0.4220052050967992,
mean_r2,co2_015bar,metal_grouped,0.6495001076775374,
mean_r2,ch4_58bar,metal_grouped,0.6333323109973479,
mean_r2,ch4_65bar,metal_grouped,0.9736660966625955,
mean_r2,co2_0015bar,func_grouped,0.5273881475661956,
mean_r2,co2_015bar,func_grouped,0.7486856243316903,
mean_r2,ch4_58bar,func_grouped,0.7595364428949345,
mean_r2,ch4_65bar,func_grouped,0.9814139800898509,
mean_r2,co2_0015bar,linker_grouped,0.5031149999614097,
mean_r2,co2_015bar,linker_grouped,0.7510116098539399,
mean_r2,ch4_58bar,linker_grouped,0.7586393992645515,
mean_r2,ch4_65bar,linker_grouped,0.9804288106431072,
mean_r2,co2_0015bar,topology_grouped,0.12787956915284576,
mean_r2,co2_015bar,topology_grouped,0.2674461894481439,
mean_r2,ch4_58bar,topology_grouped,0.18224480021569903,
mean_r2,ch4_65bar,topology_grouped,0.9474377339664383,
delta_r2_vs_random,co2_0015bar,random,,0.0
delta_r2_vs_random,co2_015bar,random,,0.0
delta_r2_vs_random,ch4_58bar,random,,0.0
delta_r2_vs_random,ch4_65bar,random,,0.0
delta_r2_vs_random,co2_0015bar,geo_grouped,,-0.030160126802614706
delta_r2_vs_random,co2_015bar,geo_grouped,,-0.01876713868880442
delta_r2_vs_random,ch4_58bar,geo_grouped,,-0.01673942971245157
delta_r2_vs_random,ch4_65bar,geo_grouped,,-0.0005422465961908429
delta_r2_vs_random,co2_0015bar,metal_grouped,,-0.13495451982583007
delta_r2_vs_random,co2_015bar,metal_grouped,,-0.10860031986977148
delta_r2_vs_random,ch4_58bar,metal_grouped,,-0.12978034953038586
delta_r2_vs_random,ch4_65bar,metal_grouped,,-0.007973066370983273
delta_r2_vs_random,co2_0015bar,func_grouped,,-0.029571577356433676
delta_r2_vs_random,co2_015bar,func_grouped,,-0.009414803215618606
delta_r2_vs_random,ch4_58bar,func_grouped,,-0.00357621763279925
delta_r2_vs_random,ch4_65bar,func_grouped,,-0.00022518294372786407
delta_r2_vs_random,co2_0015bar,linker_grouped,,-0.0538447249612195
delta_r2_vs_random,co2_015bar,linker_grouped,,-0.007088817693368998
delta_r2_vs_random,ch4_58bar,linker_grouped,,-0.00447326126318226
delta_r2_vs_random,ch4_65bar,linker_grouped,,-0.0012103523904716251
delta_r2_vs_random,co2_0015bar,topology_grouped,,-0.4290801557697835
delta_r2_vs_random,co2_015bar,topology_grouped,,-0.490654238099165
delta_r2_vs_random,ch4_58bar,topology_grouped,,-0.5808678603120347
delta_r2_vs_random,ch4_65bar,topology_grouped,,-0.03420142906714052
