source,target_slug,descriptor_family,model,split_family_1,split_family_2,top_fraction,n_common_items,top_k,elite_jaccard,prediction_spearman,source_note,pair
elite_stability_exact_top5,co2_015bar,enriched_interpretable,rf,random,geo_grouped,0.05,124444,6223,0.7879614997845137,0.9936685952844526,Exact disk-based aggregation from full per-experiment prediction CSV files.,random vs geo_grouped
elite_stability_exact_top5,co2_015bar,enriched_interpretable,rf,random,metal_grouped,0.05,171821,8592,0.6696463272444617,0.9644359445857039,Exact disk-based aggregation from full per-experiment prediction CSV files.,random vs metal_grouped
elite_stability_exact_top5,co2_015bar,enriched_interpretable,rf,random,func_grouped,0.05,133407,6671,0.7834514102392728,0.9924666086797618,Exact disk-based aggregation from full per-experiment prediction CSV files.,random vs func_grouped
elite_stability_exact_top5,co2_015bar,enriched_interpretable,rf,random,linker_grouped,0.05,136233,6812,0.7853492333901193,0.9919411015605107,Exact disk-based aggregation from full per-experiment prediction CSV files.,random vs linker_grouped
elite_stability_exact_top5,co2_015bar,enriched_interpretable,rf,random,topology_grouped,0.05,177411,8871,0.19967543444451957,0.9170895016014687,Exact disk-based aggregation from full per-experiment prediction CSV files.,random vs topology_grouped
elite_stability_exact_top5,co2_015bar,enriched_interpretable,rf,geo_grouped,metal_grouped,0.05,179863,8994,0.6610952073136948,0.9690607495760335,Exact disk-based aggregation from full per-experiment prediction CSV files.,geo_grouped vs metal_grouped
elite_stability_exact_top5,co2_015bar,enriched_interpretable,rf,geo_grouped,func_grouped,0.05,140761,7039,0.7643815014412834,0.9924536410651065,Exact disk-based aggregation from full per-experiment prediction CSV files.,geo_grouped vs func_grouped
elite_stability_exact_top5,co2_015bar,enriched_interpretable,rf,geo_grouped,linker_grouped,0.05,144003,7201,0.7653836724687424,0.9924703240686913,Exact disk-based aggregation from full per-experiment prediction CSV files.,geo_grouped vs linker_grouped
elite_stability_exact_top5,co2_015bar,enriched_interpretable,rf,geo_grouped,topology_grouped,0.05,185113,9256,0.19216898505924782,0.9222534235758594,Exact disk-based aggregation from full per-experiment prediction CSV files.,geo_grouped vs topology_grouped
elite_stability_exact_top5,co2_015bar,enriched_interpretable,rf,metal_grouped,func_grouped,0.05,197775,9889,0.6690295358649789,0.9669132535078526,Exact disk-based aggregation from full per-experiment prediction CSV files.,metal_grouped vs func_grouped
elite_stability_exact_top5,co2_015bar,enriched_interpretable,rf,metal_grouped,linker_grouped,0.05,201961,10099,0.6656770575622629,0.9671504369861326,Exact disk-based aggregation from full per-experiment prediction CSV files.,metal_grouped vs linker_grouped
elite_stability_exact_top5,co2_015bar,enriched_interpretable,rf,metal_grouped,topology_grouped,0.05,255502,12776,0.23714534714825217,0.9364145580693126,Exact disk-based aggregation from full per-experiment prediction CSV files.,metal_grouped vs topology_grouped
elite_stability_exact_top5,co2_015bar,enriched_interpretable,rf,func_grouped,linker_grouped,0.05,157945,7898,0.7631432079473155,0.9930755377161338,Exact disk-based aggregation from full per-experiment prediction CSV files.,func_grouped vs linker_grouped
elite_stability_exact_top5,co2_015bar,enriched_interpretable,rf,func_grouped,topology_grouped,0.05,198212,9911,0.20895340326909,0.9204698231985847,Exact disk-based aggregation from full per-experiment prediction CSV files.,func_grouped vs topology_grouped
elite_stability_exact_top5,co2_015bar,enriched_interpretable,rf,linker_grouped,topology_grouped,0.05,202532,10127,0.19274483245980803,0.9226957368488746,Exact disk-based aggregation from full per-experiment prediction CSV files.,linker_grouped vs topology_grouped
least_stable_pairs,co2_015bar,enriched_interpretable,rf,geo_grouped,topology_grouped,0.05,185113,9256,0.19216898505924782,0.9222534235758594,Exact disk-based aggregation from full per-experiment prediction CSV files.,geo_grouped vs topology_grouped
least_stable_pairs,co2_015bar,enriched_interpretable,rf,linker_grouped,topology_grouped,0.05,202532,10127,0.19274483245980803,0.9226957368488746,Exact disk-based aggregation from full per-experiment prediction CSV files.,linker_grouped vs topology_grouped
least_stable_pairs,co2_015bar,enriched_interpretable,rf,random,topology_grouped,0.05,177411,8871,0.19967543444451957,0.9170895016014687,Exact disk-based aggregation from full per-experiment prediction CSV files.,random vs topology_grouped
least_stable_pairs,co2_015bar,enriched_interpretable,rf,func_grouped,topology_grouped,0.05,198212,9911,0.20895340326909,0.9204698231985847,Exact disk-based aggregation from full per-experiment prediction CSV files.,func_grouped vs topology_grouped
least_stable_pairs,co2_015bar,enriched_interpretable,rf,metal_grouped,topology_grouped,0.05,255502,12776,0.23714534714825217,0.9364145580693126,Exact disk-based aggregation from full per-experiment prediction CSV files.,metal_grouped vs topology_grouped
