split_family,model,mean_kendall_tau
func_grouped,hgb,0.671393148526721
geo_grouped,hgb,0.6657929538855347
linker_grouped,hgb,0.6696168774709796
metal_grouped,hgb,0.5899211603545967
random,hgb,0.6618980067003255
topology_grouped,hgb,0.5669381025540698
func_grouped,mlp,0.663660328715116
geo_grouped,mlp,0.6567687903991768
linker_grouped,mlp,0.6597926894520396
metal_grouped,mlp,0.5833995640374223
random,mlp,0.6528812252132441
topology_grouped,mlp,0.4898330112060901
func_grouped,rf,0.6933755744369583
geo_grouped,rf,0.6881133346446456
linker_grouped,rf,0.691470493725092
metal_grouped,rf,0.6006313301975823
random,rf,0.6886608446122551
topology_grouped,rf,0.565079828154769
func_grouped,ridge,0.609950714679609
geo_grouped,ridge,0.6051263573107521
linker_grouped,ridge,0.6074794606609651
metal_grouped,ridge,0.540914066948341
random,ridge,0.6004186011816468
topology_grouped,ridge,0.5157770289378492
