split_family,model,mean_mae
func_grouped,hgb,0.6480384991815847
geo_grouped,hgb,0.6717953814538149
linker_grouped,hgb,0.6709866293955756
metal_grouped,hgb,0.7313029399465536
random,hgb,0.6771298763840716
topology_grouped,hgb,0.9259998570692037
func_grouped,mlp,0.6587150705761242
geo_grouped,mlp,0.6846250379094075
linker_grouped,mlp,0.6823378594682088
metal_grouped,mlp,0.7380085828266136
random,mlp,0.6888440111641396
topology_grouped,mlp,1.1624669063959405
func_grouped,rf,0.6209965784592331
geo_grouped,rf,0.64441165798014
linker_grouped,rf,0.6452279996577166
metal_grouped,rf,0.7120568502559103
random,rf,0.6411367743618118
topology_grouped,rf,0.9187127573897376
func_grouped,ridge,0.7772742138821512
geo_grouped,ridge,0.8023852022884421
linker_grouped,ridge,0.806917548957675
metal_grouped,ridge,0.8532648637516091
random,ridge,0.8143596516231579
topology_grouped,ridge,1.0226419344883502
